municipio_id,nombre,year
2001,ABENGIBRE,1990
2002,ALATOZ,2012
2003,ALBACETE,2006
2004,ALBATANA,2007
2005,ALBOREA,2009
2010,ALPERA,2007
2006,ALCADOZO,1994
2007,ALCALA DEL JUCAR,2012
2009,ALMANSA,1996
2008,ALCARAZ,2007
2012,BALAZOTE,1996
2013,BALSA DE VES,2007
2011,AYNA,1994
2015,BARRAX,1994
2016,BIENSERVIDA,1990
2022,CASAS DE LAZARO,2012
2020,CARCELEN,2011
2017,BOGARRA,2010
2018,BONETE,1990
2021,CASAS DE JUAN NUÑEZ,2008
2025,CAUDETE,2013
2026,CENIZATE,2007
2024,CASAS IBAÑEZ,2004
2023,CASAS DE VES,2014
2029,CHINCHILLA DE MONTE-ARAGON,2011
2030,ELCHE DE LA SIERRA,2003
2028,COTILLAS,2013
2014,EL BALLESTERO,1990
2019,EL BONILLO,2007
2027,CORRAL-RUBIO,2008
2031,FEREZ,2014
2032,FUENSANTA,1990
2033,FUENTE-ALAMO,1995
2034,FUENTEALBILLA,2014
2036,GOLOSALVO,1990
2040,HOYA-GONZALO,2016
2041,JORQUERA,2008
2037,HELLIN,2013
2039,HIGUERUELA,2011
2035,LA GINETA,2013
2043,LEZUZA,1994
2038,LA HERRERA,2014
2066,LA RECUEJA,1990
2069,LA RODA,1996
2042,LETUR,2014
2044,LIETOR,2013
2045,MADRIGUERAS,2005
2046,MAHORA,2009
2047,MASEGOSO,1990
2048,MINAYA,2008
2053,MUNERA,1994
2049,MOLINICOS,2015
2050,MONTALVOS,2007
2052,MOTILLEJA,2011
2051,MONTEALEGRE DEL CASTILLO,2007
2055,NERPIO,2007
2056,ONTUR,2007
2057,OSSA DE MONTIEL,2008
2054,NAVAS DE JORQUERA,2009
2058,PATERNA DEL MADERA,2007
2901,POZO CAÑADA,2006
2061,PETROLA,2010
2060,PEÑAS DE SAN PEDRO,1994
2059,PEÑASCOSA,2010
2062,POVEDILLA,2015
2064,POZO-LORENTE,2007
2063,POZOHONDO,1994
2065,POZUELO,2012
2067,RIOPAR,1990
2068,ROBLEDO,2010
2070,SALOBRE,2007
2071,SAN PEDRO,2007
2073,TARAZONA DE LA MANCHA,2002
2072,SOCOVOS,2008
2074,TOBARRA,2002
2079,VILLAMALEA,2005
2076,VIANOS,2010
2075,VALDEGANGA,2008
2077,VILLA DE VES,2011
2078,VILLALGORDO DEL JUCAR,2007
2080,VILLAPALACIOS,2007
2081,VILLARROBLEDO,1999
2082,VILLATOYA,1990
2083,VILLAVALIENTE,2009
2084,VILLAVERDE DE GUADALIMAR,1990
3003,AGRES,1989
2085,VIVEROS,2009
2086,YESTE,2007
3001,ADSUBIA,1990
3002,AGOST,2006
3005,ALBATERA,1987
3006,ALCALALI,2001
3007,ALCOCER DE PLANES,1989
3004,AIGUES,1988
3008,ALCOLEJA,2011
3014,ALICANTE/ALACANT,1996
3009,ALCOY/ALCOI,2000
3010,ALFAFARA,1989
3012,ALGORFA,1995
3013,ALGUEÑA,2001
3015,ALMORADI,2008
3016,ALMUDAINA,1990
3018,ALTEA,2010
3019,ASPE,2009
3020,BALONES,1990
3021,BANYERES DE MARIOLA,1986
3022,BENASAU,1990
3023,BENEIXAMA,1998
3024,BENEJUZAR,2002
3025,BENFERRI,2006
3026,BENIARBEIG,2001
3027,BENIARDA,2008
3028,BENIARRES,2008
3030,BENIDOLEIG,2003
3031,BENIDORM,1990
3032,BENIFALLIM,1990
3033,BENIFATO,1990
3029,BENIGEMBLA,2010
3034,BENIJOFAR,2009
3035,BENILLOBA,1990
3036,BENILLUP,1990
3037,BENIMANTELL,1990
3039,BENIMASSOT,1990
3038,BENIMARFULL,2006
3040,BENIMELI,1990
3041,BENISSA,2005
3042,BENITACHELL / EL POBLE NOU,1996
3043,BIAR,2009
3044,BIGASTRO,2000
3045,BOLULLA,2008
3046,BUSOT,2003
3049,CALLOSA DE SEGURA,1987
3048,CALLOSA D'EN SARRIA,2008
3047,CALP,1996
3051,CAMPO DE MIRRA / EL CAMP DE MI,1985
3056,COCENTAINA,1998
3055,CATRAL,1999
3052,CAÑADA,2002
3053,CASTALLA,2006
3054,CASTELL DE CASTELLS,1990
3057,CONFRIDES,1990
3058,COX,1990
3059,CREVILLENT,2001
3061,DAYA NUEVA,1995
3062,DAYA VIEJA,2010
3063,DENIA,1989
3064,DOLORES,2007
3050,EL CAMPELLO,2008
3075,EL CASTELL DE GUADALEST,1990
3077,EL FONDO DE LES NEUS / HONDON,2006
3105,EL PINOS / PINOSO,1987
3110,EL RAFOL D'ALMUNIA,1990
3138,EL VERGER,1986
3065,ELCHE/ELX,2001
3066,ELDA,2013
3067,FACHECA,1990
3068,FAMORCA,1990
3901,ELS POBLETS,1996
3069,FINESTRAT,2001
3070,FORMENTERA DEL SEGURA,1995
3076,GUARDAMAR DEL SEGURA,1999
3072,GAIANES,1989
3071,GATA DE GORGOS,1985
3073,GORGA,1990
3074,GRANJA DE ROCAMORA,1987
3078,HONDON DE LOS FRAILES,2001
3079,IBI,2005
3080,JACARILLA,1995
3082,JAVEA/XABIA,1995
3083,JIJONA/XIXONA,2004
3011,L'ALFAS DEL PI,1996
3017,L'ALQUERIA D'ASNAR,1989
3094,LA NUCIA,2004
3114,LA ROMANA,2001
3134,LA VALL D' ALCALA,2010
3135,LA VALL D' EBO,2011
3137,LA VALL DE LAGUAR,2008
3085,LLIBER,1989
3084,LORCHA/L'ORXA,2004
3903,LOS MONTESINOS,1995
3088,MONFORTE DEL CID,1999
3089,MONOVAR/MONOVER,1987
3091,MURLA,2010
3086,MILLENA,1990
3092,MURO DE ALCOY,1996
3097,ORBA,1990
3090,MUTXAMEL,2010
3093,NOVELDA,1995
3095,ONDARA,2013
3096,ONIL,2008
3099,ORIHUELA,1994
3098,ORXETA,2002
3100,PARCENT,1989
3101,PEDREGUER,2008
3102,PEGO,2013
3103,PENAGUILA,1990
3104,PETRER,2000
3902,PILAR DE LA HORADADA,2004
3106,PLANES,1995
3107,POLOP,2000
3060,QUATRETONDETA,1990
3109,RAFAL,1996
3111,REDOVAN,2005
3112,RELLEU,2002
3113,ROJALES,1990
3115,SAGRA,2008
3116,SALINAS,1995
3118,SAN FULGENCIO,1995
3904,SAN ISIDRO,1997
3120,SAN MIGUEL DE SALINAS,2014
3122,SAN VICENTE DEL RASPEIG / SANT,1998
3117,SANET Y NEGRALS,1990
3119,SANT JOAN D'ALACANT,2003
3121,SANTA POLA,1999
3123,SAX,2003
3125,SENIJA,1985
3127,TARBENA,1989
3128,TEULADA,1996
3124,SELLA,2007
3129,TIBI,2005
3136,VALL DE GALLINERA,2014
3131,TORMOS,2008
3130,TOLLOS,1990
3132,TORREMANZANAS / LA TORRE DE,2003
3133,TORREVIEJA,2004
3139,VILLAJOYOSA / LA VILA JOIOSA,2006
3140,VILLENA,1996
3081,XALO,1989
4002,ABRUCENA,2005
4001,ABLA,2005
4004,ALBANCHEZ,2007
4003,ADRA,2013
4005,ALBOLODUY,2012
4006,ALBOX,2002
4007,ALCOLEA,2009
4008,ALCONTAR,2006
4009,ALCUDIA DE MONTEAGUD,2011
4010,ALHABIA,2012
4011,ALHAMA DE ALMERIA,2004
4012,ALICUN,2012
4013,ALMERIA,2008
4014,ALMOCITA,2012
4015,ALSODUX,2012
4016,ANTAS,2008
4017,ARBOLEAS,2004
4018,ARMUÑA DEL ALMANZORA,2006
4019,BACARES,2006
4904,BALANEGRA,2010
4020,BAYARCAL,2010
4021,BAYARQUE,2006
4022,BEDAR,2007
4023,BEIRES,2012
4026,BENITAGLA,2011
4024,BENAHADUX,2005
4027,BENIZALON,2011
4028,BENTARIQUE,2010
4029,BERJA,2010
4031,CANTORIA,2006
4030,CANJAYAR,2008
4032,CARBONERAS,2002
4033,CASTRO DE FILABRES,2009
4037,CHIRIVEL,2007
4036,CHERCOS,2007
4034,COBDAR,2007
4035,CUEVAS DEL ALMANZORA,1999
4044,FINES,2003
4038,DALIAS,2010
4902,EL EJIDO,2004
4041,ENIX,2009
4043,FELIX,2001
4045,FIÑANA,2005
4046,FONDON,2001
4047,GADOR,2005
4049,GARRUCHA,2009
4050,GERGAL,2007
4051,HUECIJA,2012
4052,HUERCAL DE ALMERIA,2002
4053,HUERCAL-OVERA,2013
4054,ILLAR,2012
